Date,Open,High,Low,Close,Volume
4/1/2016 16:56:00,8.36,8.36,8.36,8.36,374500
4/4/2016 16:56:00,7.54,7.54,7.54,7.54,865300
4/5/2016 16:56:00,7.8,7.8,7.8,7.8,684100
4/6/2016 16:56:00,7.58,7.58,7.58,7.58,457400
4/7/2016 16:56:00,7.7,7.7,7.7,7.7,324800
4/8/2016 16:56:00,8.13,8.34,8.04,8.26,84448200
4/11/2016 16:56:00,8.39,8.39,8.39,8.39,449600
4/12/2016 16:56:00,9.04,9.04,9.04,9.04,648900
4/13/2016 16:56:00,9.49,9.49,9.49,9.49,782300
4/14/2016 16:56:00,9.73,9.77,9.12,9.16,77355500
4/15/2016 16:56:00,9.25,9.83,9.07,9.69,95590000
4/18/2016 16:56:00,9.65,9.72,8.89,9.24,88873100
4/19/2016 16:56:00,9.61,9.61,9.61,9.61,370500
4/20/2016 16:56:00,9.4,9.64,9.34,9.48,53295800
4/21/2016 16:56:00,9.5,9.5,9.5,9.5,352100
4/22/2016 16:56:00,9.32,9.93,9.29,9.75,63322900
4/25/2016 16:56:00,9.71,9.9,9.33,9.33,56585400
4/26/2016 16:56:00,9.48,9.74,9.34,9.67,40460400
4/27/2016 16:56:00,9.85,10.3,9.77,10.25,86397900
4/29/2016 16:56:00,10.23,10.54,10.01,10.23,53931300
5/2/2016 16:56:00,10.25,10.36,9.93,10.17,48618800
5/3/2016 16:56:00,10.01,10.09,9.71,9.78,47074700
5/4/2016 16:56:00,9.85,10.15,9.85,9.92,43389500
5/5/2016 16:56:00,10.28,10.3,9.6,9.81,65074500
5/6/2016 16:56:00,9.63,10.13,9.58,10.08,45330900
5/9/2016 16:56:00,10.01,10.05,8.84,9.48,94688100
5/10/2016 16:56:00,9.82,10.21,9.72,10.21,53055800
5/11/2016 16:56:00,10.39,10.5,9.99,10.25,74542300
5/12/2016 16:56:00,10.4,10.47,9.79,9.79,67229100
5/13/2016 16:56:00,9.93,10.06,9.39,9.46,70472200
5/16/2016 16:56:00,9.55,9.85,9.52,9.75,61487700
5/17/2016 16:56:00,9.83,9.88,9.46,9.5,46379500
5/18/2016 16:56:00,9.31,9.65,9.27,9.32,51929100
5/19/2016 16:56:00,9.25,9.25,8.65,8.96,75430200
5/20/2016 16:56:00,9.2,9.46,8.9,8.9,65173100
5/23/2016 16:56:00,8.55,8.67,8.42,8.5,51330000
5/24/2016 16:56:00,8.69,8.85,8.45,8.53,44823400
5/25/2016 16:56:00,8.68,8.94,8.59,8.67,45512600
5/27/2016 16:56:00,8.5,8.57,8.23,8.23,47488600
5/30/2016 16:56:00,8.18,8.62,8.06,8.38,32281900
5/31/2016 16:56:00,8.36,8.57,8.04,8.04,58662600
6/1/2016 16:56:00,8.09,8.25,7.86,8.18,45884400
6/2/2016 16:56:00,8.19,8.41,8.03,8.32,52835100
6/3/2016 16:56:00,8.51,8.67,8.45,8.57,45595300
6/6/2016 16:56:00,8.7,8.78,8.45,8.46,37117600
6/7/2016 16:56:00,8.42,8.72,8.39,8.62,34401600
6/8/2016 16:56:00,8.8,9.41,8.8,9.39,77194700
6/9/2016 16:56:00,9.28,9.38,9.05,9.18,46539900
6/10/2016 16:56:00,8.97,8.99,8.78,8.78,38859900
6/13/2016 16:56:00,8.58,8.84,8.52,8.62,37094100
6/14/2016 16:56:00,8.6,8.77,8.25,8.3,66180300
6/15/2016 16:56:00,8.3,8.69,8.27,8.51,84556900
6/16/2016 16:56:00,8.41,8.54,8.28,8.5,46834500
6/17/2016 16:56:00,8.75,8.95,8.73,8.95,63144100
6/20/2016 16:56:00,9.22,9.37,9.12,9.18,63791500
6/21/2016 16:56:00,9.09,9.54,8.94,9.53,53703900
6/22/2016 16:56:00,9.61,9.75,9.34,9.34,61983000
6/23/2016 16:56:00,9.59,9.7,9.51,9.67,48031300
6/24/2016 16:56:00,9,9.33,8.92,9.25,75974900
6/27/2016 16:56:00,9.22,9.34,8.78,8.78,58818400
6/28/2016 16:56:00,9.1,9.28,9.07,9.2,45291700
6/29/2016 16:56:00,9.43,9.57,9.32,9.5,56093600
6/30/2016 16:56:00,9.42,9.49,9.24,9.42,43741300
